ticker,total ESG score,,,,,
IVC,30.8,,,,,
FHTX,30.8,,,,,
AUPH,30.7,,,,,
AGIO,30.7,,,,,
RCUS,30.7,,,,,
NBHC,30.7,,,,,
BKH,30.7,,,,,
AMWD,30.7,,,,,
FFBC,30.7,,,,,
VRAY,30.7,,,,,
TAST,30.7,,,,,
SMMT,30.6,,,,,
MSBI,30.6,,,,,
TRST,30.6,,,,,
ZYXI,30.6,,,,,
COLL,30.6,,,,,
CCCC,30.6,,,,,
UFCS,30.6,,,,,
CNSL,30.5,,,,,
JELD,30.5,,,,,
TRVN,30.5,,,,,
ENSG,30.5,,,,,
DCPH,30.5,,,,,
FNLC,30.4,,,,,
VTRS,30.4,,,,,
JNCE,30.4,,,,,
ALVR,30.4,,,,,
VMD,30.4,,,,,
VCTR,30.4,,,,,
HBNC,30.4,,,,,
MMP,30.4,,,,,
HLIO,30.4,,,,,
DVAX,30.3,,,,,
WDFC,30.3,,,,,
JBI,30.3,,,,,
UFPI,30.3,,,,,
EQBK,30.3,,,,,
PLRX,30.3,,,,,
IIIN,30.2,,,,,
LNTH,30.2,,,,,
CRNX,30.2,,,,,
HONE,30.2,,,,,
BJ,30.2,,,,,
NVEE,30.2,,,,,
FUN,30.1,,,,,
CHX,30.1,,,,,
CDLX,30.1,,,,,
GABC,30.1,,,,,
GMED,30.1,,,,,
CMC,30.1,,,,,
AFIB,30.1,,,,,
GFF,30.1,,,,,
BNFT,30.1,,,,,
CF,30,,,,,
H,30,,,,,
ETR,30,,,,,
VLO,30,,,,,
MKL,30,,,,,
TFX,30,,,,,
AMZN,30,,,,,
UAL,30,,,,,
HLF,30,,,,,
ROKU,30,,,,,
MC,30,,,,,
CHWY,30,,,,,
GEVO,30,,,,,
BLUE,30,,,,,
RDNT,30,,,,,
VIRT,30,,,,,
OPRT,30,,,,,
CASH,29.9,,,,,
NPO,29.9,,,,,
GRPN,29.9,,,,,
CHDN,29.9,,,,,
CASY,29.9,,,,,
ORGO,29.9,,,,,
SWI,29.9,,,,,
AQB,29.9,,,,,
HSKA,29.9,,,,,
LBAI,29.8,,,,,
RBCAA,29.8,,,,,
YEXT,29.8,,,,,
SWAV,29.7,,,,,
ACI,29.7,,,,,
FFIC,29.7,,,,,
HEES,29.7,,,,,
CCOI,29.7,,,,,
CVBF,29.7,,,,,
BE,29.7,,,,,
OCX,29.7,,,,,
TGTX,29.7,,,,,
AMTI,29.6,,,,,
FSBW,29.6,,,,,
PAGP,29.6,,,,,
WTTR,29.6,,,,,
FSLY,29.6,,,,,
MCBC,29.6,,,,,
ALNY,29.6,,,,,
SQZ,29.6,,,,,
LANC,29.6,,,,,
ITT,29.5,,,,,
SENS,29.5,,,,,
IOSP,29.5,,,,,
AMSF,29.5,,,,,
SJW,29.5,,,,,
ISEE,29.5,,,,,
RFL,29.4,,,,,
HTBI,29.4,,,,,
JBLU,29.4,,,,,
KNSL,29.4,,,,,
EGBN,29.4,,,,,
FLIC,29.4,,,,,
VAC,29.4,,,,,
PUBM,29.4,,,,,
TITN,29.3,,,,,
BCEL,29.3,,,,,
SPRO,29.3,,,,,
CPRX,29.3,,,,,
SFNC,29.3,,,,,
MYGN,29.3,,,,,
DXPE,29.3,,,,,
FHI,29.3,,,,,
ENPH,29.3,,,,,
COLB,29.3,,,,,
FIVN,29.3,,,,,
LIVN,29.3,,,,,
ACTG,29.3,,,,,
CLVS,29.2,,,,,
PTGX,29.2,,,,,
CFB,29.2,,,,,
HXL,29.2,,,,,
LKFN,29.2,,,,,
